name,season,team,player,score,position,age,squad,goals,order,last
,,,Oussama Idrissi,o,fw,23,8,0,1,0
,,,David Djigla,o,mf,24,25,3,2,0
,,,Sofiane Boufal,x,fw,26,18,0,2,0
,,,Anaane Tidjani,o,fw,22,7,0,3,0
,,,Youssef En-Nesyri,x,fw,22,32,8,3,0
,,,Seibou Mama,o,mf,24,23,0,4,1
,,Algeria vs Ivory Coast,Ramy Bensebaini,o,df,24,30,2,1,0
,,,Franck Kessie,o,mf,23,40,0,1,0
,,,Islam Slimani,o,fw,31,74,28,2,0
,,,Maxwel Cornet,o,fw,23,20,5,2,0
,,,Andy Delort,o,fw,28,8,1,3,0
,,,Wilfried Bony,x,fw,31,67,17,3,0
,,,Adam Ounas,o,fw,23,14,3,4,0
,,,Max Gradel,o,fw,32,79,12,4,0
,,,Youcef Belaili,x,fw,27,14,3,5,1
,,,Geoffroy Serey Die,x,mf,35,55,2,5,1
,2022,Guinea vs Mali,Emilio Nsue,x,fw,33,32,14,1,0
,,,Adama Traore,o,mf,27,40,5,1,0
,,,Ruben Belima,o,fw,30,34,0,2,0
,,,Moussa Djenepo,o,fw,24,28,3,2,0
,,,Carlos Akapo,o,df,29,32,1,3,0
,,,Massadio Haidara,x,df,30,18,1,3,0
,,,Jannick Buyla,o,mf,24,16,1,4,0
,,,Hamari Traore,x,df,30,45,1,4,0
,,,Pablo Ganet,x,mf,28,36,4,5,0
,,,El Bilal Toure,o,fw,21,12,2,5,0
,,,Saul coco,o,df,23,19,2,6,0
,,,Aliou Dieng,o,mf,25,22,2,6,0
,,,Iban Salvador,o,fw,27,33,4,7,0
,,,Mohamed Camara,o,mf,22,20,1,7,0
,,,Santiago Eneme,o,mf,22,16,0,8,1
,,,Falaye Sacko,x,df,27,36,1,8,1
,,Ivory Coast vs Egypt,Nicolas Pepe,o,fw,27,41,8,1,0
,,,Zizo,o,fw,26,24,1,1,0
,,,Badra Ali Sangare,o,gk,36,59,0,2,0
,,,Amr El Solia,o,mf,32,49,1,2,0
,,,Eric Bailly,x,df,28,47,2,3,0
,,,Omar Kamal,o,df,29,12,0,3,0
,,,Maxwel Cornet,o,fw,26,34,6,4,0
,,,Mohamed Abdelmonem,o,df,23,13,1,4,0
,,,Wilfried Zaha,o,fw,30,24,4,5,1
,,,Mohamed Salah,o,fw,30,84,45,5,1
,,Gabon vs Burkina Faso,Denis Bouanga,o,fw,28,30,6,1,0
,,,Issa Kabore,o,df,21,28,2,1,0
,,,Axel Meye,o,fw,27,26,2,2,0
,,,Soumaila Ouattara,o,df,27,26,0,2,0
,,,Aaron Boupendza,o,fw,26,26,5,3,0
,,,Edmond Tapsoba,o,df,23,28,0,3,0
,,,Guelor Kanga,x,mf,32,59,2,4,0
,,,Saidou Simpore,x,df,30,19,0,4,0
,,,Andre Poko,o,mf,29,67,3,5,0
,,,Steeve Yago,o,df,30,74,1,5,0
,,,Bruno Ecuele Manga,o,df,34,84,8,6,0
,,,Adama Guira,o,mf,34,56,0,6,0
,,,Louis Ameka,o,mf,26,27,0,7,0
,,,Mohamed Konate,o,fw,25,19,2,7,0
,,,Yannis N'Gakoutou,x,df,24,5,0,8,0
,,,Abdoul Tapsoba,x,fw,21,14,4,8,0
,,,Lloyd Palun,x,df,34,70,0,9,1
,,,Ismahila Ouedraogo,o,mf,23,18,0,9,1
,,Cameroon vs Egypt,Vincent Aboubakar,o,fw,30,95,33,1,0
,,,Zizo,o,fw,26,24,1,1,0
,,,Harold Moukoudi,x,df,25,13,0,2,0
,,,Mohamed Abdelmonem,o,df,23,13,1,2,0
,,,James Lea Siliki,x,mf,26,14,0,3,0
,,,Mohanad Lasheen,o,mf,26,13,0,3,0
,,,Clinton Njie,x,fw,29,49,10,4,1
,,Cameroon vs Burkina Faso,Vincent Aboubakar,o,fw,30,95,33,1,0
,,,Issa Kabore,o,df,21,28,2,1,0
,,,Nicolas Moumi Ngamaleu,o,fw,28,40,4,2,0
