name,season,team,player,score,position,age,goals,period,order,last
,,,Reece James,o,df,22,11,3,5,1
,,QPR vs Sunderland,Charlie Austin,x,fw,32,90,5,1,0
,,,Aiden Mcgeady,o,mf,35,25,3,1,0
,,,Ilias Chair,x,mf,24,22,5,2,0
,,,Ross Stewart,o,fw,25,31,2,2,0
,,,Lyndno Dykes,o,fw,26,24,2,3,0
,,,Alex Pritchard,o,mf,28,26,1,3,0
,,,Yoann Barbet,x,df,28,10,3,4,1
,,West ham vs Man city,Mark Noble,o,mf,34,39,12,1,0
,,,Phil Foden,x,mf,21,38,5,1,0
,,,Jarrod Bowen,o,fw,25,77,3,2,0
,,,Joao Cancelo,o,df,27,12,3,2,0
,,,Craig Dawson,o,df,31,23,2,3,0
,,,Gabriel Jesus,o,fw,24,90,6,3,0
,,,Aaron Cresswell,o,df,32,12,8,4,0
,,,Jack Grealish,o,mf,26,33,1,4,0
,,,Said Benrahma,o,mf,26,40,2,5,1
,,Leicester vs Brighton,James Maddison,o,mf,25,52,4,1,0
,,,Pascal Gross,o,mf,30,23,5,1,0
,,,Harvey Barnes,o,fw,24,39,6,2,0
,,,Neal Maupay,x,fw,25,70,3,2,0
,,,Paston Daka,o,fw,23,8,1,3,0
,,,Alexis Mac Allistar,o,mf,23,15,2,3,0
,,,Ricardo Pereira,o,df,28,11,4,4,1
,,,Enock Mwepu,x,mf,23,2,1,4,1
,,Leicester vs Liverpool,Youri Tielemans,o,mf,24,27,4,1,0
,,,James Milner,o,mf,35,46,7,1,0
,,,James Maddison,o,mf,25,53,4,2,0
,,,Roberto Firmino,o,fw,30,129,7,2,0
,,,Marc Albrighton,o,df,32,21,8,3,0
,,,Alex Oxlade-Chamberlain,o,mf,28,29,5,3,0
,,,Luke Thomas,x,df,20,2,3,4,0
,,,Naby Keita,o,mf,26,26,4,4,0
,,,Kelchi Iheanacho,o,fw,25,43,5,5,0
,,,Takumi Minamino,x,fw,26,14,3,5,0
,,,Ryan Bertrand,x,df,32,7,1,6,1
,,,Diogo Jota,o,fw,25,85,2,6,1
,2022-2023,Morecambe vs Stoke,Dylan Connolly,o,fw,27,3,1,1,0
,,,Morgan Fox,x,df,29,4,2,1,0
,,,Jonathan Obika,o,fw,32,7,1,2,0
,,,Will Smallbone,o,mf,22,0,1,2,0
,,,Caleb Watts,o,mf,20,0,1,3,0
,,,Sam Clucas,o,mf,32,30,4,3,0
,,,Donald Love,o,mf,28,0,1,4,0
,,,Jordan Thompson,o,mf,25,2,4,4,0
,,,Shane McLoughlin,o,df,25,3,2,5,1
,,Barrow vs Blackpool,John Rooney,o,mf,32,5,2,1,0
,,,Callum connolly,x,mf,25,15,2,1,0
,,,Josh Kay,o,mf,25,14,3,2,0
,,,James Husband,o,df,28,2,4,2,0
,,,Billy Waters,o,fw,28,9,1,3,0
,,,Beryly Lubala,o,fw,24,1,2,3,0
,,,Patrick Brough,o,df,26,6,3,4,0
,,,Shayne Lavery,o,fw,24,15,2,4,0
,,,Harrison Neal,x,mf,21,0,1,5,1
,,,Lewis Fiorini ,x,mf,20,7,1,5,1
,,Tranmere vs Accrington,Kane Hemmings,o,fw,31,35,2,1,0
,,,Sean McConville,o,mf,33,10,3,1,0
,,,Josh Hawkes,o,fw,23,18,2,2,0
,,,Shaun Whalley,o,mf,35,15,1,2,0
,,,Rhys Hughes,x,mf,21,1,1,3,0
,,,Joe Pritchard,x,mf,26,9,3,3,0
,,,Paul Lewis,o,mf,28,14,2,4,0
,,,Ryan Astley,o,df,21,2,1,4,0
,,,Luke Robinson,o,df,21,0,1,5,0
,,,Harry Pell,o,mf,31,14,2,5,0
,,,Reece McAlear,o,df,20,0,1,6,0
,,,Mitchell Clark,o,df,23,2,2,6,0
,,,Neill Byrne,o,df,29,1,1,7,0
,,,Josh Woods,o,fw,22,1,2,7,0
,,,Josh Dacres-Cogley,o,df,26,2,2,8,0
,,,Liam Coyle,o,mf,23,2,2,8,0
,,,Ethan Bristow,o,df,21,1,1,9,0
,,,Mahammed Sangare,o,df,24,0,2,9,0
,,,Joel Mumbongo,o,mf,23,2,2,10,0
,,,Harvey Rodgers,o,df,26,4,3,10,0
,,,Mateusz Hewelt,o,gk,26,0,1,11,0
,,,Lukas Jensen,o,gk,23,0,1,11,0
,,,Kane Hemmings,o,fw,31,35,2,12,0
