name,season,team,player,score,position,age,goals,period,order,last
,,,Quentin Moutiapoulle,x,df,29,6,1,1,0
,,,Lucas Deaux,x,mf,33,20,1,2,0
,,,Souleiman Djabour,o,fw,33,30,1,2,0
,,,Frederic Sammaritano,x,mf,35,71,7,3,0
,,,Julien Domingues,o,fw,26,15,1,3,0
,,,Amir Arli,o,mf,18,8,3,4,0
,,,Maxime Aguad,x,df,25,3,1,4,0
,,,Aurelien Scheidler,x,fw,23,28,2,5,1
,,,Stanislas Kielt,o,fw,20,7,1,5,1
,,Beauvais VS ES Thaon,John Popolard,o,mf,36,6,1,1,0
,,,Diego Alves,o,df,24,4,3,1,0
,,,Cedric Odzoumo,o,fw,26,28,1,2,0
,,,Anthony Colin,o,mf,34,1,3,2,0
,,,Guillaume Dore,x,mf,24,1,3,3,0
,,,Sebastien Lecoanet,o,mf,27,7,3,3,0
,,,Oumar Diakhite,x,mf,29,6,1,4,1
,,,Mohamed Comara,o,fw,30,26,3,4,1
,,Metz vs Bergerac,Ibrahima Niane,o,fw,22,32,5,1,0
,,,Damien Fachan,o,mf,31,15,4,1,0
,,,Pape matar Sarr,x,mf,19,5,2,2,0
,,,Romain Escarpit,o,fw,23,16,1,2,0
,,,Papa Ndiaga Yade,o,fw,21,9,3,3,0
,,,Sam Ducros,o,df,27,0,6,3,0
,,,Jemerson,o,df,29,12,1,4,0
,,,Kevin Mingoua,o,df,27,1,1,4,0
,,,Farid boulaya,o,fw,28,26,5,5,1
,,,Hicham M'laab,o,mf,31,13,2,5,1
,,Dinan Lehon vs Stade Brestois,Lino Dufouil,x,mf,23,0,1,1,0
,,,Steve Mounie,o,fw,27,64,2,1,0
,,,Kevin Coiffic,o,df,27,2,2,2,0
,,,Jeremy Le Douaron,x,fw,23,23,2,2,0
,,,Djillali Benakli,x,fw,27,1,2,3,0
,,,Paul Lasne,o,mf,32,15,3,3,0
,,,Victor Lefebvre,o,df,27,8,3,4,0
,,,Frank Honorat,x,fw,25,30,2,4,0
,,,Florian Jegu,o,fw,32,53,3,5,0
,,,Irvin Cardona,o,fw,24,58,3,5,0
,,,Florent Herve,o,df,31,4,5,6,0
,,,Lucien Agoume,o,mf,19,1,1,6,0
,,,Mongo Mbongue,o,df,35,1,5,7,0
,,,Jean-Kevin Duverne,o,df,24,4,3,7,0
,,,Alban Dupa,o,fw,23,8,1,8,0
,,,Brendan Chardonnet,o,df,27,11,9,8,0
,,,Pierre Houssou,o,mf,25,0,2,9,0
,,,Lilian Brassier,o,df,22,4,2,9,0
,,,Pierre-Alexis Barbe,x,gk,26,0,4,10,0
,,,Gautier Larsonneur,x,gk,24,0,7,10,0
,,,Lino Dufouil,o,mf,23,0,1,11,0
,,,Steve Mounie,o,fw,27,64,2,11,0
,,,Kevin Coiffic,o,df,27,2,2,12,0
,,,Jeremy Le Douaron,o,fw,23,23,2,12,0
,,,Djillali Benakli,o,fw,27,1,2,13,0
,,,Paul Lasne,o,mf,32,15,3,13,0
,,,Victor Lefebvre,o,df,27,8,3,14,0
,,,Irvin Cardona,o,fw,24,58,3,14,0
,,,Florian Jegu,o,fw,32,53,3,15,0
,,,Lucien Agoume,o,mf,19,1,1,15,0
,,,Florent Herve,x,df,31,4,5,16,1
,,,Jean-Kevin Duverne,o,df,24,4,3,16,1
,,Quevilly Rouen vs Stade Lavallois,Bridge Ndilu,o,fw,21,15,1,1,0
,,,Julien Maggiotti,x,mf,26,20,1,1,0
,,,Florian Jozefzoon,o,fw,30,33,1,2,0
,,,Geoffray Durbant,o,fw,29,59,1,2,0
,,,Stephane Lambese,x,df,26,3,1,3,0
,,,Jimmy Roye,x,mf,33,79,1,3,0
,,,Cyril Zabou,o,fw,25,6,1,4,0
,,,Sebastien de Silva,o,fw,30,49,1,4,0
,,,Romain Padovani,o,df,32,23,2,5,1
,,Bergerac vs US Creteil,Damien Fachan,o,mf,31,15,4,1,0
,,,Kevin Farade,o,fw,26,45,2,1,0
,,,Romain Escarpit,o,fw,23,16,1,2,0
,,,Fabio Pereira,o,mf,31,8,4,2,0
,,,Sam Ducros,o,df,27,0,6,3,0
,,,Youness Aouladzian,o,mf,23,6,1,3,0
,,,Kevin Mingoua,o,df,27,1,1,4,0
,,,Axel Urie,o,fw,22,5,1,4,0
,,,Hicham M'laab,o,mf,31,13,2,5,1
,,,Kamel Chergui,x,fw,28,20,2,5,1
,,Stade Ren vs AS Nancy,Gaetan Laborde,x,fw,27,96,1,1,0
,,,Warren Bondo,o,mf,18,3,2,1,0
,,,Lovro Majer,o,mf,23,43,1,2,0
,,,Mickael Biron,x,fw,24,25,2,2,0
,,,Jonas Martin,o,mf,31,22,3,3,0
,,,Vinni Triboulet,o,fw,22,10,4,3,0
,,,Mathys Tel,x,fw,16,9,1,4,0
,,,Dorian Bertrand,o,fw,28,15,3,4,0
,,,Baptiste Santamaria,o,mf,26,19,1,5,0
,,,Elliot Simoes,x,mf,22,3,1,5,0
,,,Loic Bade,x,df,21,3,1,6,1
,,,Shaquil Delos,o,df,22,4,1,6,1
,,Linas-Montlhery vs Amiens SC,Johan Roca,o,mf,35,4,3,1,0
,,,Mathis Lachuer,o,mf,21,1,3,1,0
,,,Teddy Duval ,o,mf,28,2,3,2,0
,,,Bongani Zungu,o,mf,29,14,5,2,0
,,,Aurelien Ngeyitala,o,fw,27,18,1,3,0
,,,Harouna Sy,o,df,25,0,1,3,0
,,,Elhadji Tchabo,x,df,24,1,3,4,0
,,,Gaoussou Traore,o,mf,22,1,3,4,0
,,,Tom Bouvil,x,fw,29,2,1,5,1
,,LOSC Lille vs Lens,Jonathan Bamba,o,fw,25,38,4,1,0
,,,Wesley Said,o,fw,26,40,1,1,0
,,,Jose Fonte,x,df,38,31,4,2,0
,,,Gael Kakuta,o,mf,30,50,2,2,0
,,,Sven Botman,o,df,21,21,2,3,0
,,,Corentin Jean,o,fw,26,38,3,3,0
,,,Jeremy Pied,o,df,32,14,4,4,0
,,,Jonathan Clauss,x,df,29,35,2,4,0
,,,Renato Sanches,x,mf,24,15,3,5,1
,,,Seko Fofana,o,mf,26,36,2,5,1
,,SC Bastia vs Stade Reims,Adil Taoui,o,fw,20,3,1,1,0
,,,Hugo Ekitike,o,fw,19,19,3,1,0
,,,Yohan Bocognano,o,df,31,22,4,2,0
,,,Fraser Hornby,o,fw,22,28,2,2,0
,,,Christophe Vincent,o,mf,29,8,7,3,0
,,,Andreaw Gravillon,x,df,23,11,1,3,0
,,,Frank Magri,o,fw,22,17,1,4,0
,,,Nathanael Mbuku,o,fw,19,6,4,4,0
,,,Benjamin Santelli,o,fw,30,24,3,5,1
,,Montpellier vs Marseille,Mamadou Sakho,o,df,31,12,1,1,0
,,,Valentin Rongier,o,mf,27,11,3,1,0
,,,Mihailo Ristic,x,df,26,12,4,2,0
,,,Arkadiusz Milik,o,fw,27,135,2,2,0
,,,Leo Leroy,o,mf,21,3,1,3,0
,,,Cengiz Under,o,fw,24,50,1,3,0
,,,Sacha Delaye,o,mf,19,1,3,4,0
,,,Matteo Guendouzi,o,mf,22,7,1,4,0
,,,Joris Chotard,o,mf,20,2,4,5,1
,,,Dimitri Payet,o,mf,34,135,8,5,1
,,OGC Nice vs PSG,Morgan Schneiderlin,o,mf,32,17,2,1,0
,,,Lionel Messi,o,fw,34,684,1,1,0
,,,Jean-Clair Todibo,o,df,22,3,2,2,0
,,,Kylian Mbappe,o,fw,23,192,5,2,0
,,,Youcef Atal,o,df,25,10,4,3,0
,,,Leandro Paredes,x,mf,27,24,4,3,0
,,,Andy Delort,x,fw,30,127,1,4,0
,,,Julian Draxler,o,fw,28,89,6,4,0
,,,Amine Gouiri,o,fw,21,43,2,5,0
,,,Marco Verratti,o,mf,29,13,10,5,0
,,,Evann Guessand,o,fw,20,17,4,6,0
,,,Juan Bernat,o,df,28,20,4,6,0
,,,Dante,o,df,38,26,6,7,1
,,,Xavi Simons,x,mf,18,16,3,7,1
,,Bergerac vs Versailles,Damien Fachan ,o,mf,31,15,4,1,0
,,,Melvyn Vieira,o,mf,32,6,1,1,0
,,,Romain Escarpit,o,fw,23,16,1,2,0
,,,Makan Traore,o,df,29,2,1,2,0
,,,Sam Ducros,o,df,27,0,6,3,0
,,,Yohan Brun,o,fw,27,23,1,3,0
,,,Kevin Mingoua,x,df,27,1,1,4,0
,,,Inza Diarrassouba,o,mf,31,9,1,4,0
,,,Adrian Sahibeddine,o,mf,27,11,1,5,1
,,,Waly Diouf,o,df,24,1,1,5,1
,,AS Monaco vs Nantes,Wissam Ben Yedder,x,fw,31,209,3,1,0
,,,Randal Kolo Muani,o,fw,23,36,3,1,0
,,,Axel Disasi,o,df,23,9,2,2,0
,,,Quentin Merlin,o,df,19,1,3,2,0
,,,Aurelien Tchouameni,x,mf,21,8,3,3,0
,,,Samuel Moutoussamy,o,mf,25,5,3,3,0
,,,Kevin Volland,o,fw,29,158,2,4,1
,,,Moses Simon,o,fw,26,60,3,4,1
,2022-2023,Charente FC vs Trelissac,Thierry Lemaitre,x,fw,22,12,2,1,0
,,,Exauce Ngassaki,x,fw,25,23,2,1,0
,,,Alexandre Mourabit,x,mf,28,8,3,2,0
,,,Jorris Romil,o,fw,28,30,1,2,0
,,,Arnaud Buisson,o,mf,28,7,1,3,0
,,,Cheick Alan Diarra,o,mf,29,28,1,3,0
,,,Andre-Patrick Keyoubi,o,df,25,2,1,4,0
,,,Jimmy Burgho,o,df,33,1,8,4,0
,,,Leo Fichten,o,mf,28,26,3,5,1
,,,Cheick Keita,o,mf,22,1,2,5,1
,,CMS Oissel vs AS Poissy,Yann Guillo,o,mf,29,0,4,1,0
,,,Thomas Skolski,o,df,27,1,1,1,0
,,,Jeremy Prieur,o,df,34,8,3,2,0
,,,Jilvaro Luyinga,x,fw,21,2,1,2,0
,,,Jason Gibon,o,mf,29,12,3,3,0
,,,Wilfried Alledji,o,df,32,11,1,3,0
,,,Cady Pandi,x,fw,27,4,2,4,0
,,,Amadou Konate,o,fw,25,28,1,4,0
,,,Matteo Mendy,o,fw,24,19,1,5,0
,,,Ernest Seka,o,df,35,17,1,5,0
,,,Abdoul Kone,o,mf,31,2,2,6,0
,,,Christopher Lina,o,mf,28,1,5,6,0
,,,Quentin Stockley,o,mf,25,12,2,7,1
,,,Jaime Pallhares,x,mf,31,22,3,7,1
,,Orvault Sports vs Stade Lavallois,Geoffray Durbant,o,fw,30,71,2,1,0
,,,Marvin Baudry,x,df,32,13,2,2,0
,,,Jimmy Roye,o,mf,34,80,2,3,0
,,,Sam Sanna,o,mf,23,4,1,4,0
,,,Remy Duterte,o,df,28,6,2,5,0
,,,Kader N'Chobi,o,fw,27,30,2,6,0
,,,Pierrick Cros,x,df,30,5,3,7,1
,,AS Saint-Etienne vs Rodez AF,Louis Mouton,o,mf,20,6,5,1,0
,,,Florian David,o,fw,30,36,4,1,0
,,,Jimmy Giraudon,o,df,30,2,1,2,0
,,,Lorenzo Rajot,o,mf,25,5,2,2,0
,,,Victor Lobry,x,mf,27,19,1,3,0
,,,Marvin Senaya,x,df,21,2,1,3,0
,,,Leo Petrot,o,df,25,4,2,4,0
,,,Loris Mouyokolo,o,df,21,0,1,4,0
,,,Ibrahima Wadji,x,fw,27,63,1,5,1
,,,Clement Depres,o,fw,28,23,2,5,1
,,Toulon vs Aubagne,Oumar Diop,o,df,28,0,3,1,0
,,,Gaetan Thereau,o,mf,34,2,2,1,0
,,,Bilel El Hamzaoui,o,df,30,24,2,2,0
,,,Adama Soumare,o,df,27,1,2,2,0
,,,Najib Gandi,x,mf,28,7,1,3,0
,,,Mamadou Savane,o,df,26,4,2,3,0
,,,Abdoulaye Diallo,o,fw,30,49,4,4,0
,,,Brad Pirioua,o,mf,22,1,1,4,0
,,,Farah Gomis,x,fw,30,10,2,5,1
,,Pryve Hilaire vs Dijon,Antonie Cottereau,o,df,23,3,2,1,0
,,,Mickael Le Bihan,x,fw,32,90,2,1,0
,,,Rodrigue N'cho,x,mf,31,2,5,2,0
,,,Didier Ndong,o,mf,28,5,3,2,0
,,,Mathis Cherchour,o,fw,23,13,4,3,0
,,,Roger Assale,o,fw,29,58,3,3,0
,,,Raphael Galas,x,mf,25,8,3,4,0
,,,Zargo Toure,x,df,33,9,2,4,0
,,,Raphael Gerbeaud,o,fw,22,24,1,5,1
,,,Yanis Chahid,x,mf,18,1,3,5,1
,,Mezieres vs SC Bastia,Clement Gonel,x,fw,26,8,4,1,0
,,,Antony Robic,o,fw,36,63,3,1,0
,,,Hugo Cervantes Casado,o,fw,26,7,5,2,0
,,,Sebastian salles-Lamonge,o,mf,26,30,4,2,0
,,,Moussa Bana,o,df,25,1,1,3,0
,,,Kylian Kaiboue,o,mf,24,10,2,3,0
,,,Samy Lamine,x,df,27,2,4,4,1
,,,Kevin Van Den Kerkhof,o,df,26,39,1,4,1
,,Aubervilliers vs QRM,Paul Serge Mvondo,o,df,36,2,4,1,0
,,,Alexandre Tegar,x,df,22,2,2,1,0
,,,Masire Konate,o,mf,22,5,3,2,0
,,,Till Cissokho,x,df,22,3,2,2,0
,,,Mouhoub Nait Merabet,o,mf,29,5,1,3,0
,,,Louis Mafouta,o,fw,28,63,1,3,0
,,,Alpha Kaba,o,fw,24,1,1,4,1
,,AS Vitre vs Paotred Dispount,Eliot Sorin,o,mf,29,12,7,1,0
,,,Pierre Le Reste,o,df,31,3,3,1,0
,,,Matthis Jourdan,o,fw,25,25,2,2,0
,,,Martin Le Gall,o,mf,20,0,1,2,0
,,,Glenn Le Gall,o,fw,27,25,4,3,0
,,,Fabien Prat,o,df,27,0,3,3,0
,,,Alban Bekombo,x,fw,23,13,1,4,0
,,,Mikael Guillamot,o,mf,28,1,3,4,0
,,,Jocelyn Laurent,x,df,27,4,2,5,1
,,Bourgoin Jallieu vs C.S.F,Alexandre Roselli,o,df,25,9,4,1,0
,,,Nikola Volic,x,fw,29,29,2,1,0
,,,Alexis Gonzalez,x,fw,33,13,1,2,0
,,,Nikolaz Poujol,o,df,25,6,2,2,0
,,,Aziz Bouzit,o,fw,28,25,2,3,0
,,,Maxence Fortier,o,fw,23,16,4,3,0
,,,Antony Sejallon,x,mf,33,6,4,4,0
,,,Naofel Hdoubane,o,fw,19,7,1,4,0
,,,Sofiane Atik,o,mf,36,32,2,5,1
,,,Loic Albrecht,o,df,25,8,3,5,1
,,Vannes OC vs Concarneau,Hermann Esmel,o,mf,23,3,1,1,0
,,,Ambroise Gboho,o,fw,28,37,1,1,0
,,,Mathias Blanchard,o,mf,23,8,1,2,0
,,,Gaoussou Traore,o,mf,23,6,1,2,0
,,,Claudel Ngoubou,o,fw,21,3,2,3,0
,,,Maxime Etuin,o,mf,27,9,2,3,0
,,,Thibault Bouedec,o,df,29,1,2,4,0
,,,Amine Boutrah,o,fw,22,21,2,4,0
,,,Dollard Wandji,o,df,26,4,1,5,0
,,,Mamadou Sylla,o,df,27,5,1,5,0
,,,Marvin Duclovel,o,df,26,9,2,6,1
,,,Thibault Sinquin,x,mf,30,9,6,6,1
,,Valenciennes vs Red Star,Joffrey Cuffaut,o,df,34,28,5,1,0
,,,Hacene Benali,o,fw,23,20,2,1,0
,,,Mathis Picouleau,x,mf,22,7,3,2,0
,,,Rayan Slimani,x,mf,19,0,1,2,0
,,,Jason Berthomier,o,mf,32,46,1,3,0
,,,Nathanael Dieng,x,df,25,1,2,3,0
,,,Ugo Bonnet,o,fw,29,44,2,4,1
,,,Jason Tre,x,df,24,1,2,4,1
,,US Alencon vs Le Havre,Tony Hiaumet,o,df,37,4,6,1,0
,,,Victor Lekhal,o,mf,28,12,11,1,0
,,,Yonel Raddas,o,df,26,0,2,2,0
,,,Nabil Alioui,o,fw,23,27,3,2,0
,,,Karim El Hamdaoui,o,df,31,5,5,3,0
,,,Quentin Cornette,o,fw,28,16,3,3,0
,,,Amaury Tessier,o,fw,29,22,5,4,0
,,,Nolan Mbemba,x,mf,27,2,3,4,0
,,,Hakim El Hamdaoui,o,fw,31,53,5,5,1
,,Saint-Malo vs SM Caen,Alexandre Le Nedic,o,df,24,0,1,1,0
,,,Benjamin Jeannot,o,fw,30,55,4,1,0
,,,Sofiane Barroug,x,mf,21,13,1,2,0
,,,Romain Thomas,o,df,34,33,1,2,0
,,,Alexandre Leroyer,o,df,26,9,2,3,0
,,,Alexandre Mendy,x,fw,28,76,3,3,0
,,,Alexis Taipa,o,df,24,2,1,4,0
,,,Djibril Diani,o,mf,24,10,2,4,0
,,,Christian Kitenge,x,fw,21,17,1,5,1
,,,Hianga'a Mbock,o,mf,23,7,1,5,1
,,AG Plouvorn vs FC Sable,Anthony Derouard,o,mf,30,20,4,1,0
,,,Marwan Aouadi,o,fw,21,5,1,2,0
,,,Nelson Kabeya,o,fw,29,38,3,3,0
,,,Mohamed Camara,o,df,28,0,1,4,0
,,,Florian Monnier,x,df,23,4,3,5,1
,,Chamois vs Bergerac,Bryan Passi,o,df,25,5,4,1,0
,,,Damien  Fachan,o,mf,32,18,5,1,0
,,,Yanis Merdji,o,fw,29,31,2,2,0
,,,Anthony Soubervie,o,df,38,30,1,2,0
,,,Junior Olaitan,o,mf,20,5,2,3,0
,,,Victor Elissalt,o,mf,31,11,3,3,0
,,,Moataz Zemzemi,o,mf,23,17,2,4,0
,,,Christian Gyeboaho,o,mf,26,7,2,4,0
,,,Bilal Boutobba,o,fw,24,25,3,5,1
,,,Hicham M'Laab,x,mf,32,19,3,5,1
,,FC Loon-Plage vs CMS Oissel,Dimitri Boudaud,o,mf,35,28,1,1,0
,,,Yann Guillo,o,mf,29,0,4,1,0
,,,Allan De Meyer,o,mf,23,0,3,2,0
,,,Abdelali Ouadah,x,df,34,0,1,2,0
,,,Jeremy Huysman,o,mf,34,6,1,3,0
,,,Alexis Louiserre,o,df,25,0,2,3,0
,,,Anthony Milliot,o,fw,26,1,3,4,0
,,,Matteo Mendy,o,fw,24,19,1,4,0
,,,Florian Leblanc,o,mf,32,0,2,5,1
,,ES Thaon vs FCSM,Diego Alves,x,df,25,5,4,1,0
,,,Samy Faraj,x,mf,21,13,4,1,0
,,,Karim Koriche,o,mf,28,0,3,2,0
,,,Valentin Henry,o,df,29,6,2,2,0
,,,Victor Didierjean,o,df,28,0,4,3,0
,,,Tony Mauricio,x,fw,28,46,2,3,0
,,,Wilfried Rother,o,df,32,10,4,4,1
,,,Valentine Ozornwafor,x,df,23,2,1,4,1
,,Les Herbiers vs Guingamp,Jeremy Billy,x,fw,28,45,3,1,0
,,,Mehdi Baaloudj,o,fw,21,22,2,1,0
,,,Pierre Grellier,o,fw,25,22,3,2,0
,,,Jules Gaudin,o,df,22,2,4,2,0
,,,Alexandre Lavenant,o,df,27,5,1,3,0
,,,Baptiste Guillaume,o,fw,27,48,1,3,0
,,,Lucas Daury,o,mf,27,26,1,4,0
,,,Stephen Quemper,x,df,29,10,2,4,0
,,,Thibaut Plisson,o,df,24,3,1,5,1
,,,Jeremy Livolant,x,fw,24,29,3,5,1
,,JA Drancy vs P.Cassel,Mohamed Paye,x,mf,24,3,1,1,0
,,,Sayon Keita,o,fw,30,25,4,2,0
,,,Steeve Penel,x,df,36,2,3,3,0
,,,Antoine Metzler,o,df,29,12,3,4,0
,,,Sofiane Boukhedimi,x,df,19,0,2,5,1
,,FC Lannion vs Bell nantes,Junior Vidot,o,mf,31,14,5,1,0
,,,Antonie Guiziou,o,df,26,4,5,2,0
,,,Karim Achahbar,o,mf,26,29,2,3,0
,,,Florain Kerger,o,df,31,2,4,4,0
,,,Steve Devaux,x,mf,27,20,5,5,0
,,,Louka Morin,o,mf,20,8,3,6,0
,,,Romain Le Mehaute,x,mf,25,5,4,7,0
,,,Hugo Julien ,o,df,19,1,2,8,0
,,,Baptiste Davai,o,gk,21,0,4,9,1
,,FC Limonest vs Jura Sud,Nicolas Belvito,o,fw,36,84,2,1,0
,,,Tiago,o,fw,29,35,2,1,0
,,,Martin Mihajlovic,x,mf,23,0,2,2,0
,,,Mara Wague,o,df,25,2,1,2,0
,,,Hichem Zoghlami,o,mf,20,0,1,3,0
,,,Jordan Gaubey,o,mf,29,23,4,3,0
,,,Ralph Kottoy,x,mf,30,13,1,4,1
,,,Damien Andrey,o,mf,25,1,4,4,1
,,Reims vs Wasquehal,Jordann Yeye,o,fw,34,15,2,1,0
,,,Geoffrey Cabaye,o,mf,33,16,5,1,0
,,,Thibaut Logette,o,df,26,4,3,2,0
,,,Jawed Kalai,o,fw,22,7,1,2,0
,,,Baptiste Fournier,x,df,26,0,2,3,0
,,,Fares Hassani,o,mf,31,31,3,3,0
,,,Mickael Tacalfred,x,df,41,11,2,4,1
,,,Karamba Dansoko,o,fw,25,13,1,4,1
,,Angers vs Strasbourg,Himad Abdelli,o,mf,23,13,1,1,0
,,,Habib Diallo,o,fw,27,107,3,1,0
,,,Abdallah Sima,o,fw,21,29,1,2,0
,,,Lebo Mothiba,o,fw,26,41,4,2,0
,,,Batista Mendy,o,mf,22,1,2,3,0
,,,Adrein Thomasson,o,mf,29,57,5,3,0
,,,Amine Salama,o,fw,22,3,1,4,0
,,,Jean-Ricner Bellegarde,x,mf,24,13,4,4,0
,,,Nabil Bentaleb,x,mf,28,31,2,5,0
,,,Habib Diarra,o,mf,18,6,2,5,0
,,,Ousmane Camara,o,df,19,0,1,6,1
,,,Gerzino Nyamsi,x,df,25,6,2,6,1
,,Evreux vs Sc Bastia,Thomas Valentin,o,mf,29,11,5,1,0
,,,Sebastian salles-Lamonge,x,mf,26,30,4,1,0
,,,Dayatoule Mendes,x,fw,28,5,3,2,0
,,,Kevin Van Den Kerkhof,o,df,26,39,1,2,0
,,,Ikauar Mendes,o,fw,23,27,2,3,0
,,,Kylian Kaiboue,o,mf,24,10,2,3,0
,,,Jonathan Betin,o,df,32,3,4,4,0
,,,Kevin Schur,o,fw,32,27,5,4,0
,,,Elton Boketsu,x,fw,30,17,5,5,1
,,,Migouel Alfarela,o,fw,25,45,1,5,1
,,Clermont 63 vs FCOSK 06,Muhammed Cham,o,mf,22,34,1,1,0
,,,Mohamed Cherief,o,mf,33,12,3,1,0
,,,Jim Allevinah,x,fw,27,24,4,2,0
,,,Alexis Mouakit,o,df,28,0,3,2,0
,,,Yanis Massolin,o,mf,20,0,1,3,0
,,,Wacim Tine,x,mf,31,13,3,3,0
,,,Florent Ogier,o,df,33,15,5,4,0
,,,Habib Ibrahim Sidow,o,fw,27,2,2,4,0
,,,Baila Diallo,x,df,21,5,3,5,1
,,,Samuel KeKambus,o,fw,26,6,2,5,1
,,AS Monaco vs Rodez AF,Wissam Ben Yedder,o,fw,32,233,4,1,0
,,,Aymen Abdennour,o,df,33,17,1,1,0
,,,Axel Disasi,o,df,24,16,3,2,0
,,,Bradley Danger,o,df,24,12,2,2,0
,,,Eliesse Ben Seghir,o,mf,17,7,2,3,0
,,,Killian Corredor,x,fw,22,18,2,3,0
,,,Caio Henrique,o,df,25,5,3,4,0
,,,Marvin Senaya,o,df,21,2,1,4,0
,,,Aleksandr Golovin,x,mf,26,43,5,5,0
,,,Clement Depres,o,fw,28,23,2,5,0
,,,Soungoutou Magassa,x,df,19,1,2,6,1
,,,Andy Pembele,o,fw,22,7,1,6,1
,,Amiens SC vs ES Thaon,Tolu Arokodare,o,fw,22,43,2,1,0
,,,Diego Alves,o,df,25,5,4,1,0
,,,Hassane Bande,x,fw,24,21,1,2,0
,,,Karim Koriche,o,mf,28,0,3,2,0
,,,Mehdi Bariki,o,fw,22,13,2,3,0
,,,Victor Didierjean,o,df,28,0,4,3,0
,,,Siriky Diabate,x,df,20,0,2,4,1
,,,Theo Gazagnes,o,mf,30,13,4,4,1
,,FC Chamalieres vs Bourges 18,Michael Nsilu Kuyenga,x,fw,20,1,1,1,0
,,,Raouf Mroivili,x,mf,23,7,1,1,0
,,,Vinicius Gomes,o,df,24,4,2,2,0
,,,Ibrahim Fofana,o,fw,28,22,1,2,0
,,,Bakeba-Lamine Dibane,o,fw,26,10,2,3,0
,,,Andrea Marques,o,df,25,10,2,3,0
,,,Fred Gnalega,x,mf,21,0,1,4,0
,,,Brice Hereson,o,df,26,2,2,4,0
,,,Orphe Mbina,o,fw,22,23,1,5,0
,,,Kabba Sambou,x,df,26,2,2,5,0
,,,Pie-Luxton Bekili,o,df,22,2,1,6,0
,,,Ibou Faye,o,mf,31,1,2,6,0
,,,Mathis Dodin,o,mf,23,1,4,7,0
,,,Julien Farnabe,o,fw,29,7,2,7,0
,,,Antoine Couderc,o,mf,28,3,4,8,1
,,,Pape Ndiaye,x,gk,33,0,2,8,1
,,Dunkerque vs AJ Auxerre,Samy Baghdadi,o,fw,25,19,1,1,0
,,,M'Baye Niang,o,fw,28,81,1,1,0
,,,Yohan Bilingi,o,df,23,6,1,2,0
,,,Jubal,o,df,29,13,3,2,0
,,,Alain Ipiele,o,fw,25,29,1,3,0
,,,Julian Jeanvier,o,df,30,14,1,3,0
,,,Leverton Pierre,x,mf,24,3,4,4,0
,,,Gaetan Perrin,o,mf,26,43,2,4,0
,,,Rayan Ghrieb,o,mf,23,32,1,5,1
,,,Birama Toure,o,mf,30,8,7,5,1
,,Pays de Grasse vs Rodez AF,Youssef Gazzaoui,o,df,26,1,1,1,0
,,,Serge-Philippe Raux,o,df,23,2,2,1,0
,,,Dame Gueye,x,fw,27,42,2,2,0
,,,Eric-Vandenabeele,x,df,31,15,1,2,0
,,,Herman Ako,o,mf,29,9,3,3,0
,,,Akim Abdallah,x,df,25,1,1,3,0
,,,Vincent Muratori,o,df,35,2,3,4,0
,,,Bradley Danger,o,df,24,12,2,4,0
,,,Aymen Souda,x,mf,29,21,1,5,0
,,,Andy Pembele,o,fw,22,9,1,5,0
,,,Kevin Chatelain,o,df,28,1,3,6,0
,,,Wilitty Younoussa,o,mf,21,2,1,6,0
,,,Nicolas Medjian,x,mf,34,4,3,7,1
,,,Remy Boissier,o,mf,28,24,4,7,1
,,Lorient vs SC Bastia,Quentin Boisgard,o,mf,25,12,3,1,0
,,,Frank Magri,o,fw,23,30,2,1,0
,,,Darlin Yongwa,o,df,22,1,1,2,0
,,,Kapit Djoco,x,fw,27,41,1,2,0
,,,Theo Le Bris,o,mf,20,4,4,3,0
,,,Kylian Kaiboue,x,mf,24,10,2,3,0
,,,Laurent Abergel,o,mf,29,9,4,4,1
,,Annecy vs Belfort,Ahmed Kashi,o,mf,34,12,4,1,0
,,,Thomas Regnier,o,fw,38,64,8,1,0
,,,Clement Billemaz,x,fw,24,17,1,2,0
,,,Allan Ramos,x,mf,25,2,1,2,0
,,,Vincent Pajot,o,mf,32,17,1,3,0
,,,Dramane Sissoko,o,fw,24,14,1,3,0
,,,Arnold Temanfo,o,df,29,6,2,4,0
,,,Djamal Berrabha,o,fw,21,10,1,4,0
,,,Alexy Bosetti,o,fw,29,69,2,5,1
,,,Lucas Cuenin,x,df,28,11,4,5,1
,,Nantes vs ES Thaon,Evann Guessand,o,fw,21,21,1,1,0
,,,Anthony Colin,o,mf,35,3,4,1,0
,,,Jaouen Hadjam,o,df,19,0,1,2,0
,,,Karim Koriche,o,mf,28,0,3,2,0
,,,Andrei Girotto,o,df,30,30,4,3,0
,,,Theo Gazagnes,x,mf,30,13,4,3,0
,,,Ignatius Ganago,x,fw,23,35,1,4,0
,,,Victor Didierjean,x,df,28,0,4,4,0
,,,Mostafa Mohamed,o,fw,25,68,1,5,1
,,Vierzon vs Le Puy Foot,Karl Fabien,o,fw,22,10,1,1,0
,,,Mohamed Ben Fredj,o,fw,22,43,1,1,0
,,,Adel Khechim,o,mf,30,4,4,2,0
,,,Jules Meyer,o,mf,22,3,3,2,0
,,,Jean-Baptiste N'Guessan,o,df,22,1,2,3,0
,,,Yannis M'Bemba,x,df,21,1,1,3,0
,,,Mory Kone,o,df,28,1,1,4,0
